SBrightlanelat,SBrightlanelon,SBmiddlelanelat,SBmiddlelanelon,SBleftlanelat,SBleftlanelon,NBleftlanelat,NBleftlanelon,NBmiddlelanelat,NBmiddlelanelon,NBrightlanelat,NBrightlanelon
46.399441,11.2987274202,46.3993418704,11.2987838908,46.399441,11.2987274202,46.399441,11.2987274202,46.39934,11.2986736387,46.399441,11.2987274202
46.3996617544,11.298629,46.3996431579,11.2988952185,46.3996617544,11.298629,46.3996617544,11.298629,46.399632,11.2987876555,46.3996617544,11.298629
46.399738,11.2986800924,46.3996431579,11.2989597563,46.399738,11.2986800924,46.399738,11.2986800924,46.399632,11.2988548824,46.399738,11.2986800924
46.3997491111,11.298693,46.399750963,11.2989807311,46.3997491111,11.298693,46.3997491111,11.298693,46.399738,11.2988677899,46.3997491111,11.298693
46.399838,11.2987467815,46.399750963,11.2990425798,46.399838,11.2987467815,46.399838,11.2987467815,46.399738,11.2989350168,46.399838,11.2987467815
46.399838,11.2988870756,46.39983985,11.299043042,46.399838,11.2988870756,46.399838,11.2988870756,46.399838,11.2989301008,46.399838,11.2988870756
46.3999305,11.2989489244,46.39983985,11.2990995126,46.3999305,11.2989489244,46.3999305,11.2989489244,46.399838,11.2989892605,46.3999305,11.2989489244
46.3999305,11.2988237563,46.3999305,11.2991168655,46.3999305,11.2988237563,46.3999305,11.2988237563,46.3999305,11.2989985462,46.3999305,11.2988237563
46.400023,11.2988802269,46.3999305,11.2991787143,46.400023,11.2988802269,46.400023,11.2988802269,46.3999305,11.299060395,46.400023,11.2988802269
46.400023,11.2990016975,46.4000322593,11.2991549748,46.400023,11.2990016975,46.400023,11.2990016975,46.400023,11.2990447227,46.400023,11.2990016975
46.400123,11.2990689244,46.4000322593,11.2992168235,46.400123,11.2990689244,46.400123,11.2990689244,46.400023,11.2991092605,46.400123,11.2990689244
46.400123,11.2991732605,46.4001303818,11.2992377983,46.400123,11.2991732605,46.400123,11.2991732605,46.400123,11.299119479,46.400123,11.2991732605
46.4002245,11.2992351092,46.4001303818,11.2992996471,46.4002245,11.2992351092,46.4002245,11.2992351092,46.400123,11.2991867059,46.4002245,11.2992351092
46.4002245,11.2992402605,46.4002356273,11.2992886639,46.4002245,11.2992402605,46.4002245,11.2992402605,46.4002245,11.2991730336,46.4002245,11.2992402605
46.4003265,11.2993047983,46.4002356273,11.2993505126,46.4003265,11.2993047983,46.4003265,11.2993047983,46.4002245,11.2992429496,46.4003265,11.2993047983
